,ids,target_len,query_len,E-value,score_sequence,domain_number,of,i-Evalue,score_domain,from_ali_coord,to_ali_coord,acc,description_of_target
16,Q2FZX9,355,357,6.5e-95,323.0,1,1,7.3e-95,322.8,1,350,0.93,Probable nitronate monooxygenase OS=Staphylococcus aureus (strain NCTC 8325 / PS 47) OX=93061 GN=SAOUHSC_00855 PE=3 SV=1
17,Q5HHG4,355,357,6.5e-95,323.0,1,1,7.3e-95,322.8,1,350,0.93,Probable nitronate monooxygenase OS=Staphylococcus aureus (strain COL) OX=93062 GN=SACOL0922 PE=3 SV=1
18,O05413,347,357,5.5e-90,306.8,1,1,6.6e-90,306.5,2,343,0.94,Probable nitronate monooxygenase OS=Bacillus subtilis (strain 168) OX=224308 GN=yrpB PE=3 SV=1
19,Q9I4V0,328,357,2.7e-33,120.3,1,2,3.3e-09,41.1,6,75,0.90,NADH:quinone reductase OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) OX=208964 GN=PA1024 PE=1 SV=1
20,Q9I4V0,328,357,2.7e-33,120.3,2,2,3e-20,77.4,109,314,0.87,NADH:quinone reductase OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) OX=208964 GN=PA1024 PE=1 SV=1
21,O06179,375,357,9e-33,118.6,1,2,1e+02,6.6,23,59,0.86,Putative monooxygenase Rv1533 OS=Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv) OX=83332 GN=Rv1533 PE=1 SV=1
22,O06179,375,357,9e-33,118.6,2,2,3.6e-30,110.1,143,362,0.86,Putative monooxygenase Rv1533 OS=Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv) OX=83332 GN=Rv1533 PE=1 SV=1
23,Q01284,378,357,3.6e-27,100.2,1,2,0.43,14.4,33,62,0.82,Nitronate monooxygenase OS=Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987) OX=367110 GN=ncd-2 PE=1 SV=1
24,Q01284,378,357,3.6e-27,100.2,2,2,1.5e-22,84.9,152,368,0.78,Nitronate monooxygenase OS=Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987) OX=367110 GN=ncd-2 PE=1 SV=1
25,Q7UJL3,539,357,7.7e-12,49.7,1,3,0.00019,25.4,78,135,0.74,Inosine-5'-monophosphate dehydrogenase OS=Rhodopirellula baltica (strain DSM 10527 / NCIMB 13988 / SH1) OX=243090 GN=guaB PE=3 SV=1
26,Q7UJL3,539,357,7.7e-12,49.7,2,3,2.3e+02,5.4,303,343,0.84,Inosine-5'-monophosphate dehydrogenase OS=Rhodopirellula baltica (strain DSM 10527 / NCIMB 13988 / SH1) OX=243090 GN=guaB PE=3 SV=1
27,Q7UJL3,539,357,7.7e-12,49.7,3,3,0.00091,23.2,371,440,0.77,Inosine-5'-monophosphate dehydrogenase OS=Rhodopirellula baltica (strain DSM 10527 / NCIMB 13988 / SH1) OX=243090 GN=guaB PE=3 SV=1
28,Q8KCW4,494,357,2.3e-11,48.2,1,3,0.034,18.0,31,76,0.79,Inosine-5'-monophosphate dehydrogenase OS=Chlorobaculum tepidum (strain ATCC 49652 / DSM 12025 / NBRC 103806 / TLS) OX=194439 GN=guaB PE=3 SV=1
29,Q8KCW4,494,357,2.3e-11,48.2,2,3,1.2e+02,6.4,260,301,0.83,Inosine-5'-monophosphate dehydrogenase OS=Chlorobaculum tepidum (strain ATCC 49652 / DSM 12025 / NBRC 103806 / TLS) OX=194439 GN=guaB PE=3 SV=1
30,Q8KCW4,494,357,2.3e-11,48.2,3,3,2e-05,28.7,330,374,0.86,Inosine-5'-monophosphate dehydrogenase OS=Chlorobaculum tepidum (strain ATCC 49652 / DSM 12025 / NBRC 103806 / TLS) OX=194439 GN=guaB PE=3 SV=1
31,O50316,494,357,5.3e-11,47.0,1,3,0.21,15.4,31,70,0.86,Inosine-5'-monophosphate dehydrogenase OS=Chlorobaculum parvum (strain NCIB 8327) OX=517417 GN=guaB PE=3 SV=3
32,O50316,494,357,5.3e-11,47.0,2,3,1.9e+02,5.7,261,301,0.79,Inosine-5'-monophosphate dehydrogenase OS=Chlorobaculum parvum (strain NCIB 8327) OX=517417 GN=guaB PE=3 SV=3
33,O50316,494,357,5.3e-11,47.0,3,3,2.9e-05,28.1,331,374,0.86,Inosine-5'-monophosphate dehydrogenase OS=Chlorobaculum parvum (strain NCIB 8327) OX=517417 GN=guaB PE=3 SV=3
34,Q4VRV8,551,357,9.1e-11,46.2,1,2,0.04,17.8,40,86,0.81,Inosine-5'-monophosphate dehydrogenase OS=Toxoplasma gondii OX=5811 PE=1 SV=1
35,Q4VRV8,551,357,9.1e-11,46.2,2,2,0.00038,24.4,334,391,0.87,Inosine-5'-monophosphate dehydrogenase OS=Toxoplasma gondii OX=5811 PE=1 SV=1
36,Q9ZL14,481,357,1.5e-10,45.5,1,3,0.0043,21.0,30,105,0.88,Inosine-5'-monophosphate dehydrogenase OS=Helicobacter pylori (strain J99 / ATCC 700824) OX=85963 GN=guaB PE=3 SV=1
37,Q9ZL14,481,357,1.5e-10,45.5,2,3,1.7e+03,2.6,226,286,0.69,Inosine-5'-monophosphate dehydrogenase OS=Helicobacter pylori (strain J99 / ATCC 700824) OX=85963 GN=guaB PE=3 SV=1
38,Q9ZL14,481,357,1.5e-10,45.5,3,3,0.0012,22.8,320,366,0.89,Inosine-5'-monophosphate dehydrogenase OS=Helicobacter pylori (strain J99 / ATCC 700824) OX=85963 GN=guaB PE=3 SV=1
39,Q9KGN8,485,357,1.5e-10,45.5,1,2,1.7e-05,28.8,33,101,0.81,Inosine-5'-monophosphate dehydrogenase OS=Bacillus halodurans (strain ATCC BAA-125 / DSM 18197 / FERM 7344 / JCM 9153 / C-125) OX=272558 GN=guaB PE=3 SV=1
40,Q9KGN8,485,357,1.5e-10,45.5,2,2,0.063,17.1,330,373,0.87,Inosine-5'-monophosphate dehydrogenase OS=Bacillus halodurans (strain ATCC BAA-125 / DSM 18197 / FERM 7344 / JCM 9153 / C-125) OX=272558 GN=guaB PE=3 SV=1
41,P0DB88,493,357,1.9e-10,45.2,1,2,4.9e-05,27.4,35,95,0.75,Inosine-5'-monophosphate dehydrogenase OS=Streptococcus pyogenes serotype M3 (strain ATCC BAA-595 / MGAS315) OX=198466 GN=guaB PE=3 SV=1
42,P0DB88,493,357,1.9e-10,45.2,2,2,0.0057,20.6,332,379,0.86,Inosine-5'-monophosphate dehydrogenase OS=Streptococcus pyogenes serotype M3 (strain ATCC BAA-595 / MGAS315) OX=198466 GN=guaB PE=3 SV=1
43,P0DB89,493,357,1.9e-10,45.2,1,2,4.9e-05,27.4,35,95,0.75,Inosine-5'-monophosphate dehydrogenase OS=Streptococcus pyogenes serotype M3 (strain SSI-1) OX=193567 GN=guaB PE=3 SV=1
44,P0DB89,493,357,1.9e-10,45.2,2,2,0.0057,20.6,332,379,0.86,Inosine-5'-monophosphate dehydrogenase OS=Streptococcus pyogenes serotype M3 (strain SSI-1) OX=193567 GN=guaB PE=3 SV=1
45,P0C0H6,493,357,1.9e-10,45.2,1,2,4.9e-05,27.4,35,95,0.75,Inosine-5'-monophosphate dehydrogenase OS=Streptococcus pyogenes OX=1314 GN=guaB PE=1 SV=2
46,P0C0H6,493,357,1.9e-10,45.2,2,2,0.0057,20.6,332,379,0.86,Inosine-5'-monophosphate dehydrogenase OS=Streptococcus pyogenes OX=1314 GN=guaB PE=1 SV=2
47,P0C0H7,493,357,1.9e-10,45.2,1,2,4.9e-05,27.4,35,95,0.75,Inosine-5'-monophosphate dehydrogenase OS=Streptococcus pyogenes serotype M1 OX=301447 GN=guaB PE=3 SV=2
48,P0C0H7,493,357,1.9e-10,45.2,2,2,0.0057,20.6,332,379,0.86,Inosine-5'-monophosphate dehydrogenase OS=Streptococcus pyogenes serotype M1 OX=301447 GN=guaB PE=3 SV=2
49,P68839,493,357,1.9e-10,45.2,1,2,4.9e-05,27.4,35,95,0.75,Inosine-5'-monophosphate dehydrogenase OS=Streptococcus pyogenes serotype M18 (strain MGAS8232) OX=186103 GN=guaB PE=3 SV=2
50,P68839,493,357,1.9e-10,45.2,2,2,0.0057,20.6,332,379,0.86,Inosine-5'-monophosphate dehydrogenase OS=Streptococcus pyogenes serotype M18 (strain MGAS8232) OX=186103 GN=guaB PE=3 SV=2
51,Q5X9A3,493,357,1.9e-10,45.2,1,2,4.9e-05,27.4,35,95,0.75,Inosine-5'-monophosphate dehydrogenase OS=Streptococcus pyogenes serotype M6 (strain ATCC BAA-946 / MGAS10394) OX=286636 GN=guaB PE=1 SV=3
52,Q5X9A3,493,357,1.9e-10,45.2,2,2,0.0057,20.6,332,379,0.86,Inosine-5'-monophosphate dehydrogenase OS=Streptococcus pyogenes serotype M6 (strain ATCC BAA-946 / MGAS10394) OX=286636 GN=guaB PE=1 SV=3
53,Q59011,496,357,1.9e-10,45.2,1,2,0.03,18.2,39,88,0.77,Inosine-5'-monophosphate dehydrogenase OS=Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440) OX=243232 GN=guaB PE=3 SV=1
54,Q59011,496,357,1.9e-10,45.2,2,2,0.00015,25.7,318,371,0.91,Inosine-5'-monophosphate dehydrogenase OS=Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440) OX=243232 GN=guaB PE=3 SV=1
55,P49058,404,357,2.4e-10,44.9,1,2,0.00073,23.5,32,125,0.76,Inosine-5'-monophosphate dehydrogenase OS=Borrelia burgdorferi (strain ATCC 35210 / B31 / CIP 102532 / DSM 4680) OX=224326 GN=guaB PE=1 SV=1
56,P49058,404,357,2.4e-10,44.9,2,2,0.0027,21.6,251,300,0.85,Inosine-5'-monophosphate dehydrogenase OS=Borrelia burgdorferi (strain ATCC 35210 / B31 / CIP 102532 / DSM 4680) OX=224326 GN=guaB PE=1 SV=1
57,F7CYY5,515,357,3.4e-10,44.3,1,3,0.063,17.1,53,91,0.86,Inosine-5'-monophosphate dehydrogenase 2 OS=Xenopus tropicalis OX=8364 GN=impdh2 PE=3 SV=1
58,F7CYY5,515,357,3.4e-10,44.3,2,3,2.3e+02,5.4,285,325,0.81,Inosine-5'-monophosphate dehydrogenase 2 OS=Xenopus tropicalis OX=8364 GN=impdh2 PE=3 SV=1
59,F7CYY5,515,357,3.4e-10,44.3,3,3,0.00081,23.4,353,407,0.86,Inosine-5'-monophosphate dehydrogenase 2 OS=Xenopus tropicalis OX=8364 GN=impdh2 PE=3 SV=1
60,P56088,481,357,3.5e-10,44.3,1,3,0.0098,19.8,30,105,0.88,Inosine-5'-monophosphate dehydrogenase OS=Helicobacter pylori (strain ATCC 700392 / 26695) OX=85962 GN=guaB PE=3 SV=1
61,P56088,481,357,3.5e-10,44.3,2,3,1.9e+03,2.4,226,286,0.76,Inosine-5'-monophosphate dehydrogenase OS=Helicobacter pylori (strain ATCC 700392 / 26695) OX=85962 GN=guaB PE=3 SV=1
62,P56088,481,357,3.5e-10,44.3,3,3,0.0012,22.8,320,366,0.89,Inosine-5'-monophosphate dehydrogenase OS=Helicobacter pylori (strain ATCC 700392 / 26695) OX=85962 GN=guaB PE=3 SV=1
63,Q12658,529,357,3.7e-10,44.2,1,3,0.1,16.4,62,120,0.83,Inosine-5'-monophosphate dehydrogenase OS=Pneumocystis carinii OX=4754 GN=GUA1 PE=1 SV=2
64,Q12658,529,357,3.7e-10,44.2,2,3,1.9e+03,2.4,291,331,0.78,Inosine-5'-monophosphate dehydrogenase OS=Pneumocystis carinii OX=4754 GN=GUA1 PE=1 SV=2
65,Q12658,529,357,3.7e-10,44.2,3,3,0.001,23.0,358,411,0.85,Inosine-5'-monophosphate dehydrogenase OS=Pneumocystis carinii OX=4754 GN=GUA1 PE=1 SV=2
66,Q9HLK8,485,357,4.3e-10,44.0,1,2,0.012,19.5,36,75,0.85,Inosine-5'-monophosphate dehydrogenase OS=Thermoplasma acidophilum (strain ATCC 25905 / DSM 1728 / JCM 9062 / NBRC 15155 / AMRC-C165) OX=273075 GN=guaB PE=3 SV=1
67,Q9HLK8,485,357,4.3e-10,44.0,2,2,0.00062,23.7,315,372,0.87,Inosine-5'-monophosphate dehydrogenase OS=Thermoplasma acidophilum (strain ATCC 25905 / DSM 1728 / JCM 9062 / NBRC 15155 / AMRC-C165) OX=273075 GN=guaB PE=3 SV=1
68,O67820,490,357,6.3e-10,43.5,1,3,0.039,17.8,35,74,0.79,Inosine-5'-monophosphate dehydrogenase OS=Aquifex aeolicus (strain VF5) OX=224324 GN=guaB PE=3 SV=1
69,O67820,490,357,6.3e-10,43.5,2,3,4e+02,4.6,265,302,0.79,Inosine-5'-monophosphate dehydrogenase OS=Aquifex aeolicus (strain VF5) OX=224324 GN=guaB PE=3 SV=1
70,O67820,490,357,6.3e-10,43.5,3,3,0.0013,22.7,331,380,0.85,Inosine-5'-monophosphate dehydrogenase OS=Aquifex aeolicus (strain VF5) OX=224324 GN=guaB PE=3 SV=1
71,Q8F4Q4,508,357,7.7e-10,43.2,1,2,0.23,15.3,49,93,0.82,Inosine-5'-monophosphate dehydrogenase OS=Leptospira interrogans serogroup Icterohaemorrhagiae serovar Lai (strain 56601) OX=189518 GN=guaB PE=3 SV=1
72,Q8F4Q4,508,357,7.7e-10,43.2,2,2,0.00046,24.2,347,401,0.85,Inosine-5'-monophosphate dehydrogenase OS=Leptospira interrogans serogroup Icterohaemorrhagiae serovar Lai (strain 56601) OX=189518 GN=guaB PE=3 SV=1
73,B0UXP9,514,357,8.5e-10,43.0,1,2,0.085,16.7,53,91,0.88,Inosine-5'-monophosphate dehydrogenase 2 OS=Danio rerio OX=7955 GN=impdh2 PE=3 SV=1
74,B0UXP9,514,357,8.5e-10,43.0,2,2,0.00079,23.4,352,406,0.86,Inosine-5'-monophosphate dehydrogenase 2 OS=Danio rerio OX=7955 GN=impdh2 PE=3 SV=1
75,E9PU28,514,357,8.6e-10,43.0,1,2,0.082,16.8,53,91,0.87,Inosine-5'-monophosphate dehydrogenase 2 OS=Rattus norvegicus OX=10116 GN=Impdh2 PE=1 SV=1
76,E9PU28,514,357,8.6e-10,43.0,2,2,0.00044,24.2,352,406,0.86,Inosine-5'-monophosphate dehydrogenase 2 OS=Rattus norvegicus OX=10116 GN=Impdh2 PE=1 SV=1
77,P12269,514,357,9e-10,43.0,1,2,0.082,16.8,53,91,0.87,Inosine-5'-monophosphate dehydrogenase 2 OS=Cricetulus griseus OX=10029 GN=IMPDH2 PE=1 SV=1
78,P12269,514,357,9e-10,43.0,2,2,0.00044,24.2,352,406,0.86,Inosine-5'-monophosphate dehydrogenase 2 OS=Cricetulus griseus OX=10029 GN=IMPDH2 PE=1 SV=1
79,P24547,514,357,9e-10,42.9,1,2,0.082,16.8,53,91,0.87,Inosine-5'-monophosphate dehydrogenase 2 OS=Mus musculus OX=10090 GN=Impdh2 PE=1 SV=2
80,P24547,514,357,9e-10,42.9,2,2,0.00044,24.2,352,406,0.86,Inosine-5'-monophosphate dehydrogenase 2 OS=Mus musculus OX=10090 GN=Impdh2 PE=1 SV=2
81,Q3SWY3,514,357,1.1e-09,42.6,1,2,0.082,16.8,53,91,0.87,Inosine-5'-monophosphate dehydrogenase 2 OS=Bos taurus OX=9913 GN=IMPDH2 PE=2 SV=1
82,Q3SWY3,514,357,1.1e-09,42.6,2,2,0.00044,24.2,352,406,0.86,Inosine-5'-monophosphate dehydrogenase 2 OS=Bos taurus OX=9913 GN=IMPDH2 PE=2 SV=1
83,P12268,514,357,1.5e-09,42.2,1,2,0.082,16.8,53,91,0.87,Inosine-5'-monophosphate dehydrogenase 2 OS=Homo sapiens OX=9606 GN=IMPDH2 PE=1 SV=2
84,P12268,514,357,1.5e-09,42.2,2,2,0.00044,24.2,352,406,0.86,Inosine-5'-monophosphate dehydrogenase 2 OS=Homo sapiens OX=9606 GN=IMPDH2 PE=1 SV=2
85,Q5RGV1,514,357,1.8e-09,41.9,1,2,0.019,18.8,53,91,0.88,Inosine-5'-monophosphate dehydrogenase 1b OS=Danio rerio OX=7955 GN=impdh1b PE=2 SV=1
86,Q5RGV1,514,357,1.8e-09,41.9,2,2,0.0047,20.8,354,406,0.86,Inosine-5'-monophosphate dehydrogenase 1b OS=Danio rerio OX=7955 GN=impdh1b PE=2 SV=1
87,Q9UY49,485,357,1.8e-09,41.9,1,2,0.012,19.5,37,93,0.79,Inosine-5'-monophosphate dehydrogenase OS=Pyrococcus abyssi (strain GE5 / Orsay) OX=272844 GN=guaB PE=3 SV=1
88,Q9UY49,485,357,1.8e-09,41.9,2,2,0.016,19.1,314,369,0.87,Inosine-5'-monophosphate dehydrogenase OS=Pyrococcus abyssi (strain GE5 / Orsay) OX=272844 GN=guaB PE=3 SV=1
89,P42851,485,357,2.6e-09,41.4,1,2,0.015,19.2,37,90,0.78,Inosine-5'-monophosphate dehydrogenase OS=Pyrococcus furiosus (strain ATCC 43587 / DSM 3638 / JCM 8422 / Vc1) OX=186497 GN=guaB PE=3 SV=1
90,P42851,485,357,2.6e-09,41.4,2,2,0.016,19.1,314,369,0.87,Inosine-5'-monophosphate dehydrogenase OS=Pyrococcus furiosus (strain ATCC 43587 / DSM 3638 / JCM 8422 / Vc1) OX=186497 GN=guaB PE=3 SV=1
91,Q9SA34,502,357,3.1e-09,41.2,1,2,0.046,17.6,42,81,0.83,Inosine-5'-monophosphate dehydrogenase 2 OS=Arabidopsis thaliana OX=3702 GN=At1g16350 PE=1 SV=1
92,Q9SA34,502,357,3.1e-09,41.2,2,2,0.0012,22.8,340,394,0.86,Inosine-5'-monophosphate dehydrogenase 2 OS=Arabidopsis thaliana OX=3702 GN=At1g16350 PE=1 SV=1
93,P21879,488,357,3.4e-09,41.0,1,2,0.00035,24.6,35,102,0.83,Inosine-5'-monophosphate dehydrogenase OS=Bacillus subtilis (strain 168) OX=224308 GN=guaB PE=1 SV=2
94,P21879,488,357,3.4e-09,41.0,2,2,0.069,17.0,333,377,0.85,Inosine-5'-monophosphate dehydrogenase OS=Bacillus subtilis (strain 168) OX=224308 GN=guaB PE=1 SV=2
95,Q9HQU4,499,357,4.2e-09,40.8,1,2,0.17,15.7,45,100,0.81,Inosine-5'-monophosphate dehydrogenase OS=Halobacterium salinarum (strain ATCC 700922 / JCM 11081 / NRC-1) OX=64091 GN=guaB PE=3 SV=2
96,Q9HQU4,499,357,4.2e-09,40.8,2,2,0.001,23.0,330,381,0.82,Inosine-5'-monophosphate dehydrogenase OS=Halobacterium salinarum (strain ATCC 700922 / JCM 11081 / NRC-1) OX=64091 GN=guaB PE=3 SV=2
97,F6S675,512,357,4.3e-09,40.7,1,2,0.021,18.7,53,95,0.81,Inosine-5'-monophosphate dehydrogenase 1 OS=Xenopus tropicalis OX=8364 GN=impdh1 PE=3 SV=1
98,F6S675,512,357,4.3e-09,40.7,2,2,0.0057,20.6,352,404,0.86,Inosine-5'-monophosphate dehydrogenase 1 OS=Xenopus tropicalis OX=8364 GN=impdh1 PE=3 SV=1
99,P50096,514,357,6.9e-09,40.0,1,2,0.031,18.1,53,91,0.86,Inosine-5'-monophosphate dehydrogenase 1 OS=Mus musculus OX=10090 GN=Impdh1 PE=1 SV=2
100,P50096,514,357,6.9e-09,40.0,2,2,0.0058,20.6,354,406,0.86,Inosine-5'-monophosphate dehydrogenase 1 OS=Mus musculus OX=10090 GN=Impdh1 PE=1 SV=2
101,D3ZLZ7,514,357,6.9e-09,40.0,1,2,0.031,18.1,53,91,0.86,Inosine-5'-monophosphate dehydrogenase 1 OS=Rattus norvegicus OX=10116 GN=Impdh1 PE=3 SV=1
102,D3ZLZ7,514,357,6.9e-09,40.0,2,2,0.0058,20.6,354,406,0.86,Inosine-5'-monophosphate dehydrogenase 1 OS=Rattus norvegicus OX=10116 GN=Impdh1 PE=3 SV=1
103,A0JNA3,514,357,6.9e-09,40.0,1,2,0.031,18.1,53,91,0.86,Inosine-5'-monophosphate dehydrogenase 1 OS=Bos taurus OX=9913 GN=IMPDH1 PE=2 SV=2
104,A0JNA3,514,357,6.9e-09,40.0,2,2,0.0058,20.6,354,406,0.86,Inosine-5'-monophosphate dehydrogenase 1 OS=Bos taurus OX=9913 GN=IMPDH1 PE=2 SV=2
105,Q54QQ0,515,357,8.1e-09,39.8,1,2,0.21,15.4,58,107,0.83,Inosine-5'-monophosphate dehydrogenase OS=Dictyostelium discoideum OX=44689 GN=impdh PE=1 SV=1
106,Q54QQ0,515,357,8.1e-09,39.8,2,2,0.0024,21.8,357,412,0.83,Inosine-5'-monophosphate dehydrogenase OS=Dictyostelium discoideum OX=44689 GN=impdh PE=1 SV=1
107,Q9GZH3,534,357,9e-09,39.7,1,2,0.23,15.3,54,93,0.87,Inosine-5'-monophosphate dehydrogenase OS=Caenorhabditis elegans OX=6239 GN=T22D1.3 PE=3 SV=2
108,Q9GZH3,534,357,9e-09,39.7,2,2,0.0048,20.8,371,415,0.87,Inosine-5'-monophosphate dehydrogenase OS=Caenorhabditis elegans OX=6239 GN=T22D1.3 PE=3 SV=2
109,O00086,521,357,1e-08,39.5,1,2,0.037,17.9,57,117,0.81,Inosine-5'-monophosphate dehydrogenase OS=Candida albicans OX=5476 GN=IMH3 PE=2 SV=1
110,O00086,521,357,1e-08,39.5,2,2,0.05,17.5,354,406,0.89,Inosine-5'-monophosphate dehydrogenase OS=Candida albicans OX=5476 GN=IMH3 PE=2 SV=1
111,Q59Q46,521,357,1e-08,39.5,1,2,0.037,17.9,57,117,0.81,Inosine-5'-monophosphate dehydrogenase OS=Candida albicans (strain SC5314 / ATCC MYA-2876) OX=237561 GN=IMH3 PE=1 SV=2
112,Q59Q46,521,357,1e-08,39.5,2,2,0.05,17.5,354,406,0.89,Inosine-5'-monophosphate dehydrogenase OS=Candida albicans (strain SC5314 / ATCC MYA-2876) OX=237561 GN=IMH3 PE=1 SV=2
113,Q6GMG5,544,357,1e-08,39.5,1,2,0.037,17.9,53,92,0.86,Inosine-5'-monophosphate dehydrogenase 1a OS=Danio rerio OX=7955 GN=impdh1a PE=2 SV=1
114,Q6GMG5,544,357,1e-08,39.5,2,2,0.0062,20.4,354,406,0.86,Inosine-5'-monophosphate dehydrogenase 1a OS=Danio rerio OX=7955 GN=impdh1a PE=2 SV=1
115,Q07152,537,357,1.2e-08,39.3,1,2,0.052,17.4,75,113,0.89,Inosine-5'-monophosphate dehydrogenase OS=Drosophila melanogaster OX=7227 GN=ras PE=1 SV=1
116,Q07152,537,357,1.2e-08,39.3,2,2,0.0027,21.6,371,425,0.86,Inosine-5'-monophosphate dehydrogenase OS=Drosophila melanogaster OX=7227 GN=ras PE=1 SV=1
117,P20839,514,357,1.5e-08,39.0,1,2,0.031,18.1,53,91,0.86,Inosine-5'-monophosphate dehydrogenase 1 OS=Homo sapiens OX=9606 GN=IMPDH1 PE=1 SV=2
118,P20839,514,357,1.5e-08,39.0,2,2,0.0068,20.3,354,406,0.86,Inosine-5'-monophosphate dehydrogenase 1 OS=Homo sapiens OX=9606 GN=IMPDH1 PE=1 SV=2
119,Q9KH33,498,357,1.6e-08,38.9,1,3,0.013,19.4,37,87,0.79,Inosine-5'-monophosphate dehydrogenase OS=Rhizobium tropici OX=398 GN=guaB PE=3 SV=1
120,Q9KH33,498,357,1.6e-08,38.9,2,3,6.3e+02,4.0,266,303,0.86,Inosine-5'-monophosphate dehydrogenase OS=Rhizobium tropici OX=398 GN=guaB PE=3 SV=1
121,Q9KH33,498,357,1.6e-08,38.9,3,3,0.016,19.1,331,376,0.85,Inosine-5'-monophosphate dehydrogenase OS=Rhizobium tropici OX=398 GN=guaB PE=3 SV=1
