Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Taxonomic lineage IDs	Taxonomic lineage (ALL)	Organism ID
Q5KP44	IMDH_CRYNJ	reviewed	Inosine-5'-monophosphate dehydrogenase (IMP dehydrogenase) (IMPD) (IMPDH) (EC 1.1.1.205)	CNA04240	Cryptococcus neoformans var. neoformans serotype D (strain JEC21 / ATCC MYA-565) (Filobasidiella neoformans)	544	214684	cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Basidiomycota, Agaricomycotina, Tremellomycetes, Tremellales (jelly fungi), Cryptococcaceae, Cryptococcus, Cryptococcus neoformans species complex, Cryptococcus neoformans (Filobasidiella neoformans), Cryptococcus neoformans var. neoformans, Cryptococcus neoformans var. neoformans serotype D (strain JEC21 / ATCC MYA-565) (Filobasidiella neoformans)	214684
Q74CB9	PYRDB_GEOSL	reviewed	Dihydroorotate dehydrogenase B (NAD(+)), catalytic subunit (DHOD B) (DHODase B) (DHOdehase B) (EC 1.3.1.14) (Dihydroorotate oxidase B) (Orotate reductase (NADH))	pyrD GSU1755	Geobacter sulfurreducens (strain ATCC 51573 / DSM 12127 / PCA)	305	243231	cellular organisms, Bacteria, Proteobacteria, delta/epsilon subdivisions, Deltaproteobacteria, Desulfuromonadales, Geobacteraceae, Geobacter, Geobacter sulfurreducens, Geobacter sulfurreducens (strain ATCC 51573 / DSM 12127 / PCA)	243231
Q58070	PYRDB_METJA	reviewed	Dihydroorotate dehydrogenase B (NAD(+)), catalytic subunit (DHOD B) (DHODase B) (DHOdehase B) (EC 1.3.1.14) (Dihydroorotate oxidase B) (Orotate reductase (NADH))	pyrD MJ0654	Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440) (Methanococcus jannaschii)	306	243232	cellular organisms, Archaea, Euryarchaeota, Methanomada group, Methanococci, Methanococcales, Methanocaldococcaceae, Methanocaldococcus, Methanocaldococcus jannaschii, Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440) (Methanococcus jannaschii)	243232
O50316	IMDH_CHLP8	reviewed	Inosine-5'-monophosphate dehydrogenase (IMP dehydrogenase) (IMPD) (IMPDH) (EC 1.1.1.205)	guaB Cpar_0730	Chlorobaculum parvum (strain NCIB 8327) (Chlorobium vibrioforme subsp. thiosulfatophilum (strain DSM 263 / NCIB 8327))	494	517417	cellular organisms, Bacteria, FCB group, Bacteroidetes/Chlorobi group, Chlorobi, Chlorobia, Chlorobiales, Chlorobiaceae, Chlorobaculum, Chlorobaculum parvum, Chlorobaculum parvum (strain NCIB 8327) (Chlorobium vibrioforme subsp. thiosulfatophilum (strain DSM 263 / NCIB 8327))	517417
Q48JY0	PYRD_PSE14	reviewed	Dihydroorotate dehydrogenase (quinone) (EC 1.3.5.2) (DHOdehase) (DHOD) (DHODase) (Dihydroorotate oxidase)	pyrD PSPPH_2077	Pseudomonas savastanoi pv. phaseolicola (strain 1448A / Race 6) (Pseudomonas syringae pv. phaseolicola (strain 1448A / Race 6))	343	264730	cellular organisms, Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Pseudomonadaceae, Pseudomonas, Pseudomonas syringae group, Pseudomonas syringae group genomosp. 2, Pseudomonas savastanoi (Pseudomonas syringae pv. savastanoi), Pseudomonas savastanoi pv. phaseolicola (Pseudomonas syringae pv. phaseolicola), Pseudomonas savastanoi pv. phaseolicola (strain 1448A / Race 6) (Pseudomonas syringae pv. phaseolicola (strain 1448A / Race 6))	264730
Q883P1	PYRD_PSESM	reviewed	Dihydroorotate dehydrogenase (quinone) (EC 1.3.5.2) (DHOdehase) (DHOD) (DHODase) (Dihydroorotate oxidase)	pyrD PSPTO_2309	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	343	223283	cellular organisms, Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Pseudomonadaceae, Pseudomonas, Pseudomonas syringae group, Pseudomonas syringae group genomosp. 3, Pseudomonas syringae pv. tomato, Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	223283
Q9HL35	PYRDB_THEAC	reviewed	Dihydroorotate dehydrogenase B (NAD(+)), catalytic subunit (DHOD B) (DHODase B) (DHOdehase B) (EC 1.3.1.14) (Dihydroorotate oxidase B) (Orotate reductase (NADH))	pyrD Ta0404	Thermoplasma acidophilum (strain ATCC 25905 / DSM 1728 / JCM 9062 / NBRC 15155 / AMRC-C165)	300	273075	cellular organisms, Archaea, Euryarchaeota, Diaforarchaea group, Thermoplasmata, Thermoplasmatales, Thermoplasmataceae, Thermoplasma, Thermoplasma acidophilum, Thermoplasma acidophilum (strain ATCC 25905 / DSM 1728 / JCM 9062 / NBRC 15155 / AMRC-C165)	273075
B5EFU4	PYRDB_GEOBB	reviewed	Dihydroorotate dehydrogenase B (NAD(+)), catalytic subunit (DHOD B) (DHODase B) (DHOdehase B) (EC 1.3.1.14) (Dihydroorotate oxidase B) (Orotate reductase (NADH))	pyrD Gbem_2399	Geobacter bemidjiensis (strain Bem / ATCC BAA-1014 / DSM 16622)	305	404380	cellular organisms, Bacteria, Proteobacteria, delta/epsilon subdivisions, Deltaproteobacteria, Desulfuromonadales, Geobacteraceae, Geobacter, Geobacter bemidjiensis, Geobacter bemidjiensis (strain Bem / ATCC BAA-1014 / DSM 16622)	404380
A9BJH4	PYRDB_PETMO	reviewed	Dihydroorotate dehydrogenase B (NAD(+)), catalytic subunit (DHOD B) (DHODase B) (DHOdehase B) (EC 1.3.1.14) (Dihydroorotate oxidase B) (Orotate reductase (NADH))	pyrD Pmob_0657	Petrotoga mobilis (strain DSM 10674 / SJ95)	300	403833	cellular organisms, Bacteria, Thermotogae, Thermotogae, Petrotogales, Petrotogaceae, Petrotoga, Petrotoga mobilis, Petrotoga mobilis (strain DSM 10674 / SJ95)	403833
Q8KFR5	IDI2_CHLTE	reviewed	Isopentenyl-diphosphate delta-isomerase (IPP isomerase) (EC 5.3.3.2) (Isopentenyl diphosphate:dimethylallyl diphosphate isomerase) (Isopentenyl pyrophosphate isomerase) (Type 2 isopentenyl diphosphate isomerase) (IDI-2)	fni CT0257	Chlorobaculum tepidum (strain ATCC 49652 / DSM 12025 / NBRC 103806 / TLS) (Chlorobium tepidum)	357	194439	cellular organisms, Bacteria, FCB group, Bacteroidetes/Chlorobi group, Chlorobi, Chlorobia, Chlorobiales, Chlorobiaceae, Chlorobaculum, Chlorobaculum tepidum, Chlorobaculum tepidum (strain ATCC 49652 / DSM 12025 / NBRC 103806 / TLS) (Chlorobium tepidum)	194439
C3K017	PYRD_PSEFS	reviewed	Dihydroorotate dehydrogenase (quinone) (EC 1.3.5.2) (DHOdehase) (DHOD) (DHODase) (Dihydroorotate oxidase)	pyrD PFLU_4603	Pseudomonas fluorescens (strain SBW25)	341	216595	cellular organisms, Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Pseudomonadaceae, Pseudomonas, Pseudomonas fluorescens group (fluorescent pseudomonads), Pseudomonas fluorescens, Pseudomonas fluorescens (strain SBW25)	216595
Q4KFI7	PYRD_PSEF5	reviewed	Dihydroorotate dehydrogenase (quinone) (EC 1.3.5.2) (DHOdehase) (DHOD) (DHODase) (Dihydroorotate oxidase)	pyrD PFL_1877	Pseudomonas fluorescens (strain ATCC BAA-477 / NRRL B-23932 / Pf-5)	339	220664	cellular organisms, Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Pseudomonadaceae, Pseudomonas, Pseudomonas fluorescens group (fluorescent pseudomonads), Pseudomonas protegens, Pseudomonas fluorescens (strain ATCC BAA-477 / NRRL B-23932 / Pf-5)	220664
Q2KW44	PYRD_BORA1	reviewed	Dihydroorotate dehydrogenase (quinone) (EC 1.3.5.2) (DHOdehase) (DHOD) (DHODase) (Dihydroorotate oxidase)	pyrD BAV2753	Bordetella avium (strain 197N)	349	360910	cellular organisms, Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Alcaligenaceae, Bordetella, Bordetella avium, Bordetella avium (strain 197N)	360910
C1DDY1	PYRD_AZOVD	reviewed	Dihydroorotate dehydrogenase (quinone) (EC 1.3.5.2) (DHOdehase) (DHOD) (DHODase) (Dihydroorotate oxidase)	pyrD Avin_18900	Azotobacter vinelandii (strain DJ / ATCC BAA-1303)	347	322710	cellular organisms, Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Pseudomonadaceae, Azotobacter group, Azotobacter, Azotobacter vinelandii, Azotobacter vinelandii (strain DJ / ATCC BAA-1303)	322710
Q88L40	PYRD_PSEPK	reviewed	Dihydroorotate dehydrogenase (quinone) (EC 1.3.5.2) (DHOdehase) (DHOD) (DHODase) (Dihydroorotate oxidase)	pyrD PP_2095	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440)	340	160488	cellular organisms, Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Pseudomonadaceae, Pseudomonas, Pseudomonas putida group, Pseudomonas putida (Arthrobacter siderocapsulatus), Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440)	160488
Q3KFC7	PYRD_PSEPF	reviewed	Dihydroorotate dehydrogenase (quinone) (EC 1.3.5.2) (DHOdehase) (DHOD) (DHODase) (Dihydroorotate oxidase)	pyrD Pfl01_1786	Pseudomonas fluorescens (strain Pf0-1)	339	205922	cellular organisms, Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Pseudomonadaceae, Pseudomonas, Pseudomonas fluorescens group (fluorescent pseudomonads), Pseudomonas fluorescens, Pseudomonas fluorescens (strain Pf0-1)	205922
Q0BFR0	PYRD_BURCM	reviewed	Dihydroorotate dehydrogenase (quinone) (EC 1.3.5.2) (DHOdehase) (DHOD) (DHODase) (Dihydroorotate oxidase)	pyrD Bamb_1455	Burkholderia ambifaria (strain ATCC BAA-244 / AMMD) (Burkholderia cepacia (strain AMMD))	345	339670	cellular organisms, Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Burkholderiaceae, Burkholderia, Burkholderia cepacia complex, Burkholderia ambifaria, Burkholderia ambifaria (strain ATCC BAA-244 / AMMD) (Burkholderia cepacia (strain AMMD))	339670
B1J5B5	PYRD_PSEPW	reviewed	Dihydroorotate dehydrogenase (quinone) (EC 1.3.5.2) (DHOdehase) (DHOD) (DHODase) (Dihydroorotate oxidase)	pyrD PputW619_1613	Pseudomonas putida (strain W619)	341	390235	cellular organisms, Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Pseudomonadaceae, Pseudomonas, Pseudomonas putida group, Pseudomonas putida (Arthrobacter siderocapsulatus), Pseudomonas putida (strain W619)	390235
U4KWE1	U4KWE1_PYROM	unreviewed	Similar to Putative monooxygenase Rv1533 acc. no. O06179	PCON_05764	Pyronema omphalodes (strain CBS 100304) (Pyronema confluens)	356	1076935	cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Ascomycota, saccharomyceta, Pezizomycotina, Pezizomycetes, Pezizales, Pyronemataceae, Pyronema, Pyronema omphalodes, Pyronema omphalodes (strain CBS 100304) (Pyronema confluens)	1076935
U4KX58	U4KX58_PYROM	unreviewed	Similar to Nitronate monooxygenase acc. no. Q9I4V0	PCON_05938	Pyronema omphalodes (strain CBS 100304) (Pyronema confluens)	331	1076935	cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Ascomycota, saccharomyceta, Pezizomycotina, Pezizomycetes, Pezizales, Pyronemataceae, Pyronema, Pyronema omphalodes, Pyronema omphalodes (strain CBS 100304) (Pyronema confluens)	1076935
U4KZ38	U4KZ38_PYROM	unreviewed	Similar to Nitronate monooxygenase acc. no. Q01284	PCON_06557	Pyronema omphalodes (strain CBS 100304) (Pyronema confluens)	330	1076935	cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Ascomycota, saccharomyceta, Pezizomycotina, Pezizomycetes, Pezizales, Pyronemataceae, Pyronema, Pyronema omphalodes, Pyronema omphalodes (strain CBS 100304) (Pyronema confluens)	1076935
A1WTJ3	PYRD_HALHL	reviewed	Dihydroorotate dehydrogenase (quinone) (EC 1.3.5.2) (DHOdehase) (DHOD) (DHODase) (Dihydroorotate oxidase)	pyrD Hhal_0211	Halorhodospira halophila (strain DSM 244 / SL1) (Ectothiorhodospira halophila (strain DSM 244 / SL1))	342	349124	cellular organisms, Bacteria, Proteobacteria, Gammaproteobacteria, Chromatiales, Ectothiorhodospiraceae (purple sulfur bacteria), Halorhodospira, Halorhodospira halophila (Ectothiorhodospira halophila), Halorhodospira halophila (strain DSM 244 / SL1) (Ectothiorhodospira halophila (strain DSM 244 / SL1))	349124
P40763	STAT3_HUMAN	reviewed	Signal transducer and activator of transcription 3 (Acute-phase response factor)	STAT3 APRF	Homo sapiens (Human)	770	9606	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata (jawed vertebrates), Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Mammalia, Theria, Eutheria, Boreoeutheria, Euarchontoglires, Primates, Haplorrhini, Simiiformes, Catarrhini, Hominoidea (apes), Hominidae (great apes), Homininae, Homo, Homo sapiens (Human)	9606
B1XV77	PYRD_POLNS	reviewed	Dihydroorotate dehydrogenase (quinone) (EC 1.3.5.2) (DHOdehase) (DHOD) (DHODase) (Dihydroorotate oxidase)	pyrD Pnec_1080	Polynucleobacter necessarius subsp. necessarius (strain STIR1)	344	452638	cellular organisms, Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Burkholderiaceae, Polynucleobacter, Polynucleobacter necessarius, Polynucleobacter necessarius subsp. necessarius (strain STIR1)	452638
B2UNA2	PYRD_AKKM8	reviewed	Dihydroorotate dehydrogenase (quinone) (EC 1.3.5.2) (DHOdehase) (DHOD) (DHODase) (Dihydroorotate oxidase)	pyrD Amuc_0375	Akkermansia muciniphila (strain ATCC BAA-835 / Muc)	348	349741	cellular organisms, Bacteria, PVC group, Verrucomicrobia, Verrucomicrobiae, Verrucomicrobiales, Akkermansiaceae, Akkermansia, Akkermansia muciniphila, Akkermansia muciniphila (strain ATCC BAA-835 / Muc)	349741
A8LY18	PYRD_SALAI	reviewed	Dihydroorotate dehydrogenase (quinone) (EC 1.3.5.2) (DHOdehase) (DHOD) (DHODase) (Dihydroorotate oxidase)	pyrD Sare_1850	Salinispora arenicola (strain CNS-205)	338	391037	cellular organisms, Bacteria, Terrabacteria group, Actinobacteria, Actinobacteria (high G+C Gram-positive bacteria), Micromonosporales, Micromonosporaceae, Salinispora, Salinispora arenicola, Salinispora arenicola (strain CNS-205)	391037
A6VW35	PYRD_MARMS	reviewed	Dihydroorotate dehydrogenase (quinone) (EC 1.3.5.2) (DHOdehase) (DHOD) (DHODase) (Dihydroorotate oxidase)	pyrD Mmwyl1_1738	Marinomonas sp. (strain MWYL1)	346	400668	cellular organisms, Bacteria, Proteobacteria, Gammaproteobacteria, Oceanospirillales, Oceanospirillaceae, Marinomonas, unclassified Marinomonas, Marinomonas sp. (strain MWYL1)	400668
Q7VTR9	PYRD_BORPE	reviewed	Dihydroorotate dehydrogenase (quinone) (EC 1.3.5.2) (DHOdehase) (DHOD) (DHODase) (Dihydroorotate oxidase)	pyrD BP3442	Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251)	349	257313	cellular organisms, Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Alcaligenaceae, Bordetella, Bordetella pertussis, Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251)	257313
A3N3E5	LLDD_ACTP2	reviewed	L-lactate dehydrogenase (EC 1.1.-.-)	lldD APL_1849	Actinobacillus pleuropneumoniae serotype 5b (strain L20)	381	416269	cellular organisms, Bacteria, Proteobacteria, Gammaproteobacteria, Pasteurellales, Pasteurellaceae, Actinobacillus, Actinobacillus pleuropneumoniae (Haemophilus pleuropneumoniae), Actinobacillus pleuropneumoniae serovar 5, Actinobacillus pleuropneumoniae serotype 5b (strain L20)	416269
Q13ZM3	PYRD_PARXL	reviewed	Dihydroorotate dehydrogenase (quinone) (EC 1.3.5.2) (DHOdehase) (DHOD) (DHODase) (Dihydroorotate oxidase)	pyrD Bxeno_A1928 Bxe_A2507	Paraburkholderia xenovorans (strain LB400)	340	266265	cellular organisms, Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Burkholderiaceae, Paraburkholderia, Paraburkholderia xenovorans, Paraburkholderia xenovorans (strain LB400)	266265
Q480K7	PYRD_COLP3	reviewed	Dihydroorotate dehydrogenase (quinone) (EC 1.3.5.2) (DHOdehase) (DHOD) (DHODase) (Dihydroorotate oxidase)	pyrD CPS_2800	Colwellia psychrerythraea (strain 34H / ATCC BAA-681) (Vibrio psychroerythus)	336	167879	cellular organisms, Bacteria, Proteobacteria, Gammaproteobacteria, Alteromonadales, Colwelliaceae, Colwellia, Colwellia psychrerythraea (Vibrio psychroerythus), Colwellia psychrerythraea (strain 34H / ATCC BAA-681) (Vibrio psychroerythus)	167879
Q4ZUM3	PYRD_PSEU2	reviewed	Dihydroorotate dehydrogenase (quinone) (EC 1.3.5.2) (DHOdehase) (DHOD) (DHODase) (Dihydroorotate oxidase)	pyrD Psyr_2106	Pseudomonas syringae pv. syringae (strain B728a)	343	205918	cellular organisms, Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Pseudomonadaceae, Pseudomonas, Pseudomonas syringae group, Pseudomonas syringae group genomosp. 1, Pseudomonas syringae, Pseudomonas syringae pv. syringae, Pseudomonas syringae pv. syringae (strain B728a)	205918
O06179	Y1533_MYCTU	reviewed	Putative monooxygenase Rv1533 (EC 1.13.12.-)	Rv1533	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	375	83332	cellular organisms, Bacteria, Terrabacteria group, Actinobacteria, Actinobacteria (high G+C Gram-positive bacteria), Corynebacteriales, Mycobacteriaceae, Mycobacterium, Mycobacterium tuberculosis complex, Mycobacterium tuberculosis, Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	83332
A1K7M2	PYRD_AZOSB	reviewed	Dihydroorotate dehydrogenase (quinone) (EC 1.3.5.2) (DHOdehase) (DHOD) (DHODase) (Dihydroorotate oxidase)	pyrD azo2210	Azoarcus sp. (strain BH72)	338	418699	cellular organisms, Bacteria, Proteobacteria, Betaproteobacteria, Rhodocyclales, Zoogloeaceae, Azoarcus, Azoarcus sp. (strain BH72)	418699
Q49W60	NMO_STAS1	reviewed	Probable nitronate monooxygenase (NMO) (EC 1.13.12.-) (Propionate 3-nitronate monooxygenase) (P3N monooxygenase)	SSP1854	Staphylococcus saprophyticus subsp. saprophyticus (strain ATCC 15305 / DSM 20229 / NCIMB 8711 / NCTC 7292 / S-41)	355	342451	cellular organisms, Bacteria, Terrabacteria group, Firmicutes, Bacilli, Bacillales, Staphylococcaceae, Staphylococcus, Staphylococcus saprophyticus, Staphylococcus saprophyticus subsp. saprophyticus, Staphylococcus saprophyticus subsp. saprophyticus (strain ATCC 15305 / DSM 20229 / NCIMB 8711 / NCTC 7292 / S-41)	342451
P46454	LLDD_HAEIN	reviewed	L-lactate dehydrogenase (EC 1.1.-.-)	lldD HI_1739.1	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	381	71421	cellular organisms, Bacteria, Proteobacteria, Gammaproteobacteria, Pasteurellales, Pasteurellaceae, Haemophilus, Haemophilus influenzae, Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	71421
D0V3Y4	NMO_PSESP	reviewed	Nitronate monooxygenase (NMO) (EC 1.13.12.-) (Propionate 3-nitronate monooxygenase) (P3N monooxygenase)	pnoA	Pseudomonas sp.	349	306	cellular organisms, Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Pseudomonadaceae, Pseudomonas, unclassified Pseudomonas, Pseudomonas sp.	306
Q96GX9	MTNB_HUMAN	reviewed	Methylthioribulose-1-phosphate dehydratase (MTRu-1-P dehydratase) (EC 4.2.1.109) (APAF1-interacting protein) (hAPIP)	APIP CGI-29	Homo sapiens (Human)	242	9606	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata (jawed vertebrates), Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Mammalia, Theria, Eutheria, Boreoeutheria, Euarchontoglires, Primates, Haplorrhini, Simiiformes, Catarrhini, Hominoidea (apes), Hominidae (great apes), Homininae, Homo, Homo sapiens (Human)	9606
A6V325	PYRD_PSEA7	reviewed	Dihydroorotate dehydrogenase (quinone) (EC 1.3.5.2) (DHOdehase) (DHOD) (DHODase) (Dihydroorotate oxidase)	pyrD PSPA7_2087	Pseudomonas aeruginosa (strain PA7)	342	381754	cellular organisms, Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Pseudomonadaceae, Pseudomonas, Pseudomonas aeruginosa group, Pseudomonas aeruginosa, Pseudomonas aeruginosa (strain PA7)	381754
